# LZ78 Pretrained Dictionary
# code	parent_code	char	pattern
1	0	T	T
2	0	h	h
3	0	e	e
4	0	 	 
5	0	P	P
6	0	r	r
7	0	o	o
8	0	j	j
9	3	c	ec
10	0	t	t
11	4	G	 G
12	0	u	u
13	10	e	te
14	0	n	n
15	0	b	b
16	3	r	er
17	0	g	g
18	4	e	 e
19	0	B	B
20	7	o	oo
21	0	k	k
22	4	o	 o
23	0	f	f
24	4	R	 R
25	0	i	i
26	0	p	p
27	4	V	 V
28	0	a	a
29	14	 	n 
30	0	W	W
31	25	n	in
32	21	l	kl
33	3	\r	e\r
34	0	\n	\n
35	4	 	  
36	35	\r	  \r
37	34	T	\nT
38	2	i	hi
39	0	s	s
40	18	b	 eb
41	20	k	ook
42	4	i	 i
43	39	 	s 
44	23	o	fo
45	6	 	r 
46	10	h	th
47	3	 	e 
48	12	s	us
49	47	o	e o
50	23	 	f 
51	28	n	an
52	0	y	y
53	7	n	on
54	47	a	e a
55	14	y	ny
56	0	w	w
57	2	e	he
58	6	e	re
59	42	n	 in
60	4	t	 t
61	57	 	he 
62	0	U	U
63	14	i	ni
64	13	d	ted
65	4	S	 S
66	10	a	ta
67	13	s	tes
68	4	a	 a
69	14	d	nd
70	0	\r	\r
71	34	m	\nm
72	7	s	os
73	10	 	t 
74	7	t	ot
75	57	r	her
76	4	p	 p
77	28	r	ar
78	10	s	ts
79	22	f	 of
80	60	h	 th
81	47	w	e w
82	7	r	or
83	0	l	l
84	0	d	d
85	68	t	 at
86	4	n	 n
87	7	 	o 
88	0	c	c
89	72	t	ost
90	68	n	 an
91	84	 	d 
92	56	i	wi
93	46	 	th 
94	28	l	al
95	0	m	m
96	89	 	ost 
97	14	o	no
98	4	r	 r
99	3	s	es
100	10	r	tr
101	25	c	ic
102	10	i	ti
103	53	s	ons
104	70	\n	\r\n
105	56	h	wh
106	28	t	at
107	39	o	so
108	3	v	ev
109	16	.	er.
110	4	Y	 Y
111	7	u	ou
112	4	m	 m
113	28	y	ay
114	4	c	 c
115	7	p	op
116	52	 	y 
117	25	t	it
118	0	,	,
119	4	g	 g
120	25	v	iv
121	47	i	e i
122	73	a	t a
123	56	a	wa
124	116	o	y o
125	45	r	r r
126	3	-	e-
127	48	e	use
128	42	t	 it
129	4	u	 u
130	69	e	nde
131	45	t	r t
132	61	t	he t
133	16	m	erm
134	39	\r	s\r
135	34	o	\no
136	50	t	f t
137	61	P	he P
138	6	o	ro
139	8	e	je
140	88	t	ct
141	11	u	 Gu
142	13	n	ten
143	15	e	be
144	6	g	rg
145	4	L	 L
146	101	e	ice
147	14	s	ns
148	121	n	e in
149	88	l	cl
150	12	d	ud
151	3	d	ed
152	4	w	 w
153	117	h	ith
154	80	i	 thi
155	43	e	s e
156	15	o	bo
157	7	k	ok
158	22	r	 or
159	22	n	 on
160	83	i	li
161	14	e	ne
162	104	a	\r\na
163	73	w	t w
164	56	w	ww
165	0	.	.
166	17	u	gu
167	142	b	tenb
168	16	g	erg
169	165	o	.o
170	144	.	rg.
171	4	I	 I
172	50	y	f y
173	111	 	ou 
174	77	e	are
175	86	o	 no
176	73	l	t l
177	7	c	oc
178	106	e	ate
179	91	i	d i
180	29	t	n t
181	61	U	he U
182	63	t	nit
183	151	 	ed 
184	0	S	S
185	66	t	tat
186	99	,	es,
187	104	y	\r\ny
188	173	w	ou w
189	25	l	il
190	83	 	l 
191	2	a	ha
192	0	v	v
193	47	t	e t
194	87	c	o c
195	57	c	hec
