# BPE Dictionary
# code	parent_code	char	pattern
0	0	\0	 
1	0	\0	!
2	0	\0	#
3	0	\0	$
4	0	\0	%
5	0	\0	&
6	0	\0	(
7	0	\0	)
8	0	\0	*
9	0	\0	,
10	0	\0	-
11	0	\0	.
12	0	\0	/
13	0	\0	0
14	0	\0	1
15	0	\0	2
16	0	\0	3
17	0	\0	4
18	0	\0	5
19	0	\0	6
20	0	\0	7
21	0	\0	8
22	0	\0	9
23	0	\0	:
24	0	\0	;
25	0	\0	?
26	0	\0	A
27	0	\0	B
28	0	\0	C
29	0	\0	D
30	0	\0	E
31	0	\0	F
32	0	\0	G
33	0	\0	H
34	0	\0	I
35	0	\0	J
36	0	\0	K
37	0	\0	L
38	0	\0	M
39	0	\0	N
40	0	\0	O
41	0	\0	P
42	0	\0	Q
43	0	\0	R
44	0	\0	S
45	0	\0	T
46	0	\0	U
47	0	\0	V
48	0	\0	W
49	0	\0	X
50	0	\0	Y
51	0	\0	[
52	0	\0	]
53	0	\0	_
54	0	\0	a
55	0	\0	b
56	0	\0	c
57	0	\0	d
58	0	\0	e
59	0	\0	f
60	0	\0	g
61	0	\0	h
62	0	\0	i
63	0	\0	j
64	0	\0	k
65	0	\0	l
66	0	\0	m
67	0	\0	n
68	0	\0	o
69	0	\0	p
70	0	\0	q
71	0	\0	r
72	0	\0	s
73	0	\0	t
74	0	\0	u
75	0	\0	v
76	0	\0	w
77	0	\0	x
78	0	\0	y
79	0	\0	z
80	0	\0	·
81	0	\0	É
82	0	\0	ä
83	0	\0	—
84	0	\0	‘
85	0	\0	’
86	0	\0	“
87	0	\0	”
88	0	\0	•
89	0	\0	™
90	0	\0	  
91	0	\0	e 
92	0	\0	th
93	0	\0	 a
94	0	\0	in
95	0	\0	d 
96	0	\0	s 
97	0	\0	er
98	0	\0	t 
99	0	\0	    
100	0	\0	 th
101	0	\0	on
102	0	\0	en
103	0	\0	, 
104	0	\0	or
105	0	\0	ou
106	0	\0	of
107	0	\0	an
108	0	\0	 the 
109	0	\0	y 
110	0	\0	hi
111	0	\0	re
112	0	\0	 an
113	0	\0	to
114	0	\0	ed 
115	0	\0	ing
116	0	\0	at
117	0	\0	ll
118	0	\0	st
119	0	\0	ar
120	0	\0	        
121	0	\0	ro
122	0	\0	. 
123	0	\0	it
124	0	\0	 and 
125	0	\0	ion
126	0	\0	ec
127	0	\0	 w
128	0	\0	es
129	0	\0	 a 
130	0	\0	ch
131	0	\0	ed
132	0	\0	he 
133	0	\0	of 
134	0	\0	to 
135	0	\0	the 
136	0	\0	ha
137	0	\0	his 
138	0	\0	ut
139	0	\0	ing 
140	0	\0	ith
141	0	\0	el
142	0	\0	wa
143	0	\0	ic
144	0	\0	for
145	0	\0	om
146	0	\0	is
147	0	\0	gh
148	0	\0	ow
149	0	\0	la
150	0	\0	ation
151	0	\0	le
152	0	\0	oun
153	0	\0	ri
154	0	\0	ber
155	0	\0	ver
156	0	\0	with
157	0	\0	in 
158	0	\0	of the 
159	0	\0	ent
160	0	\0	em
161	0	\0	ol
162	0	\0	ta
163	0	\0	at 
164	0	\0	, and 
165	0	\0	ra
166	0	\0	                
167	0	\0	es 
168	0	\0	un
169	0	\0	al
170	0	\0	ip
171	0	\0	he
172	0	\0	no
173	0	\0	us
174	0	\0	berg
175	0	\0	or 
176	0	\0	ect
177	0	\0	be
178	0	\0	enberg
179	0	\0	utenberg
180	0	\0	oo
181	0	\0	ter
182	0	\0	ll 
183	0	\0	is 
184	0	\0	Pro
185	0	\0	ork
186	0	\0	ect 
187	0	\0	ma
188	0	\0	him
189	0	\0	Gutenberg
190	0	\0	le 
191	0	\0	se
192	0	\0	Proj
193	0	\0	ir
194	0	\0	an 
195	0	\0	ur
196	0	\0	ther
197	0	\0	co
198	0	\0	ve 
199	0	\0	, w
200	0	\0	ag
201	0	\0	li
202	0	\0	ce
203	0	\0	ne
204	0	\0	you
205	0	\0	 the
206	0	\0	id
207	0	\0	am
208	0	\0	str
209	0	\0	ch 
210	0	\0	Rip
211	0	\0	en 
212	0	\0	ect Gutenberg
213	0	\0	Project Gutenberg
214	0	\0	il
215	0	\0	di
216	0	\0	per
217	0	\0	as
218	0	\0	pro
219	0	\0	qu
220	0	\0	was 
221	0	\0	do
222	0	\0	 at 
223	0	\0	 s
224	0	\0	im
225	0	\0	up
226	0	\0	der
227	0	\0	gre
228	0	\0	her
229	0	\0	it 
230	0	\0	 and
231	0	\0	ong
232	0	\0	e a
233	0	\0	the
234	0	\0	oul
235	0	\0	. T
236	0	\0	 c
237	0	\0	ut 
238	0	\0	in the 
239	0	\0	--
240	0	\0	s, 
241	0	\0	ght 
242	0	\0	out 
243	0	\0	rom
244	0	\0	He 
245	0	\0	fa
246	0	\0	sh
247	0	\0	ustr
248	0	\0	and
249	0	\0	Ill
250	0	\0	ly 
251	0	\0	os
252	0	\0	and 
253	0	\0	Illustr
254	0	\0	our
255	0	\0	Project Gutenberg™
256	0	\0	Illustration
257	0	\0	: 
258	0	\0	by 
259	0	\0	ever
260	0	\0	from
261	0	\0	with 
262	0	\0	e, 
263	0	\0	ink
264	0	\0	 work
265	0	\0	ook
266	0	\0	[Illustration
267	0	\0	one 
268	0	\0	ion 
269	0	\0	but 
270	0	\0	pre
271	0	\0	s a
272	0	\0	cop
273	0	\0	ould 
274	0	\0	con
275	0	\0	com
276	0	\0	’s 
277	0	\0	ent 
278	0	\0	tain
279	0	\0	ck
280	0	\0	f 
281	0	\0	ho
282	0	\0	on 
283	0	\0	but
284	0	\0	ill
285	0	\0	su
286	0	\0	 that 
287	0	\0	to the 
288	0	\0	al 
289	0	\0	IN
290	0	\0	par
291	0	\0	ound
292	0	\0	1.
293	0	\0	; 
294	0	\0	ab
295	0	\0	ce 
296	0	\0	hen
297	0	\0	pe
298	0	\0	work
299	0	\0	. I
300	0	\0	old 
301	0	\0	not 
302	0	\0	Van 
303	0	\0	by
304	0	\0	fe
305	0	\0	had 
306	0	\0	.”
307	0	\0	ir 
308	0	\0	ad
309	0	\0	ep
310	0	\0	moun
311	0	\0	other
312	0	\0	tr
313	0	\0	of th
314	0	\0	ang
315	0	\0	hich 
316	0	\0	 with
317	0	\0	Rip 
318	0	\0	Wink
319	0	\0	 as 
320	0	\0	E 
321	0	\0	chi
322	0	\0	ly
323	0	\0	you 
324	0	\0	Van Wink
325	0	\0	all
326	0	\0	be 
327	0	\0	ev
328	0	\0	igh
329	0	\0	pa
330	0	\0	ron
331	0	\0	s of 
332	0	\0	ed to 
333	0	\0	have 
334	0	\0	elect
335	0	\0	so
336	0	\0	end
337	0	\0	, and
338	0	\0	man
339	0	\0	n 
340	0	\0	pla
341	0	\0	s. 
342	0	\0	sel
343	0	\0	ul
344	0	\0	TH
345	0	\0	as 
346	0	\0	po
347	0	\0	was
348	0	\0	ribut
