# BPE Dictionary
# code	parent_code	char	pattern
0	0	\0	\n
1	0	\0	\r
2	0	\0	 
3	0	\0	!
4	0	\0	#
5	0	\0	$
6	0	\0	%
7	0	\0	&
8	0	\0	(
9	0	\0	)
10	0	\0	*
11	0	\0	,
12	0	\0	-
13	0	\0	.
14	0	\0	/
15	0	\0	0
16	0	\0	1
17	0	\0	2
18	0	\0	3
19	0	\0	4
20	0	\0	5
21	0	\0	6
22	0	\0	7
23	0	\0	8
24	0	\0	9
25	0	\0	:
26	0	\0	;
27	0	\0	?
28	0	\0	A
29	0	\0	B
30	0	\0	C
31	0	\0	D
32	0	\0	E
33	0	\0	F
34	0	\0	G
35	0	\0	H
36	0	\0	I
37	0	\0	J
38	0	\0	K
39	0	\0	L
40	0	\0	M
41	0	\0	N
42	0	\0	O
43	0	\0	P
44	0	\0	Q
45	0	\0	R
46	0	\0	S
47	0	\0	T
48	0	\0	U
49	0	\0	V
50	0	\0	W
51	0	\0	X
52	0	\0	Y
53	0	\0	[
54	0	\0	]
55	0	\0	_
56	0	\0	a
57	0	\0	b
58	0	\0	c
59	0	\0	d
60	0	\0	e
61	0	\0	f
62	0	\0	g
63	0	\0	h
64	0	\0	i
65	0	\0	j
66	0	\0	k
67	0	\0	l
68	0	\0	m
69	0	\0	n
70	0	\0	o
71	0	\0	p
72	0	\0	q
73	0	\0	r
74	0	\0	s
75	0	\0	t
76	0	\0	u
77	0	\0	v
78	0	\0	w
79	0	\0	x
80	0	\0	y
81	0	\0	z
82	0	\0	·
83	0	\0	É
84	0	\0	ä
85	0	\0	—
86	0	\0	‘
87	0	\0	’
88	0	\0	“
89	0	\0	”
90	0	\0	•
91	0	\0	™
92	0	\0	  
93	0	\0	\r\n
94	0	\0	 t
95	0	\0	he
96	0	\0	 a
97	0	\0	in
98	0	\0	 o
99	0	\0	    
100	0	\0	 w
101	0	\0	 the
102	0	\0	er
103	0	\0	re
104	0	\0	nd
105	0	\0	on
106	0	\0	 s
107	0	\0	ed
108	0	\0	 h
109	0	\0	at
110	0	\0	ou
111	0	\0	is
112	0	\0	it
113	0	\0	en
114	0	\0	 of
115	0	\0	 f
116	0	\0	or
117	0	\0	 c
118	0	\0	 b
119	0	\0	ing
120	0	\0	ll
121	0	\0	 and
122	0	\0	an
123	0	\0	es
124	0	\0	ro
125	0	\0	 p
126	0	\0	        
127	0	\0	 to
128	0	\0	ar
129	0	\0	\r\n\r\n
130	0	\0	 in
131	0	\0	 m
132	0	\0	 d
133	0	\0	le
134	0	\0	as
135	0	\0	ut
136	0	\0	ion
137	0	\0	 he
138	0	\0	ic
139	0	\0	ct
140	0	\0	 n
141	0	\0	 th
142	0	\0	st
143	0	\0	 l
144	0	\0	 his
145	0	\0	 g
146	0	\0	 e
147	0	\0	ith
148	0	\0	im
149	0	\0	ld
150	0	\0	ad
151	0	\0	ent
152	0	\0	ect
153	0	\0	se
154	0	\0	om
155	0	\0	 with
156	0	\0	 was
157	0	\0	ce
158	0	\0	ation
159	0	\0	 re
160	0	\0	gh
161	0	\0	 be
