# LZ78 Pretrained Dictionary
# code	parent_code	char	pattern
1	0	T	T
2	0	h	h
3	0	e	e
4	0	 	 
5	0	P	P
6	0	r	r
7	0	o	o
8	0	j	j
9	0	t	t
10	0	u	u
11	0	n	n
12	0	b	b
13	0	g	g
14	0	B	B
15	0	k	k
16	0	f	f
17	0	i	i
18	0	p	p
19	0	a	a
20	0	W	W
21	0	\n	\n
22	0	s	s
23	0	y	y
24	0	w	w
25	0	U	U
26	0	\r	\r
27	0	l	l
28	0	d	d
29	0	c	c
30	0	m	m
31	0	,	,
32	0	.	.
33	0	S	S
34	0	v	v
35	0	V	V
36	0	A	A
37	0	I	I
38	0	2	2
39	0	0	0
40	0	1	1
41	0	9	9
42	0	#	#
43	0	6	6
44	0	7	7
45	0	4	4
46	0	:	:
47	0	C	C
48	0	/	/
49	0	*	*
50	0	O	O
51	0	F	F
52	0	H	H
53	0	E	E
54	0	R	R
55	0	K	K
56	0	N	N
57	0	L	L
58	0	M	M
59	0	’	’
60	0	Y	Y
61	0	G	G
62	0	D	D
63	0	q	q
64	0	]	]
65	0	·	·
66	0	5	5
67	0	_	_
68	0	;	;
69	0	”	”
70	0	-	-
71	0	x	x
72	0	!	!
73	0	8	8
74	0	3	3
75	0	[	[
76	0	Q	Q
77	0	“	“
78	0	(	(
79	0	)	)
80	0	?	?
81	0	z	z
82	0	ä	ä
83	0	™	™
84	3	c	ec
85	4	o	 o
86	11	 	n 
87	17	n	in
88	4	 	  
89	2	i	hi
90	22	 	s 
91	16	o	fo
92	9	h	th
93	3	 	e 
94	10	s	us
95	19	n	an
96	7	n	on
97	4	t	 t
98	11	i	ni
99	4	a	 a
100	11	d	nd
101	9	 	t 
102	7	t	ot
103	19	r	ar
104	7	r	or
105	7	 	o 
106	28	 	d 
107	24	i	wi
108	19	l	al
109	11	o	no
110	3	s	es
111	9	r	tr
112	17	c	ic
113	9	i	ti
114	24	h	wh
115	19	t	at
116	22	o	so
117	7	u	ou
118	7	p	op
119	23	 	y 
120	17	t	it
121	17	v	iv
122	24	a	wa
123	6	o	ro
124	12	e	be
125	6	g	rg
126	11	s	ns
127	3	d	ed
128	4	w	 w
129	27	i	li
130	11	e	ne
131	24	w	ww
132	2	a	ha
133	27	o	lo
134	27	e	le
135	10	t	ut
136	2	o	ho
137	19	s	as
138	27	l	ll
139	6	a	ra
140	9	o	to
141	19	m	am
142	3	l	el
143	31	 	, 
144	5	r	Pr
145	17	s	is
146	1	h	Th
147	19	g	ag
148	4	P	 P
149	54	I	RI
150	32	 	. 
151	36	N	AN
152	4	b	 b
153	12	y	by
154	22	t	st
155	4	“	 “
156	52	e	He
157	4	f	 f
158	7	f	of
159	11	a	na
160	28	i	di
161	17	r	ir
162	68	 	; 
163	7	v	ov
164	18	r	pr
165	3	n	en
166	22	,	s,
167	29	h	ch
168	22	i	si
169	69	 	” 
170	30	o	mo
171	10	n	un
172	19	b	ab
173	18	e	pe
174	29	k	ck
175	3	e	ee
176	28	e	de
177	6	y	ry
178	17	p	ip
179	30	e	me
180	19	a	aa
181	24	e	we
182	34	i	vi
183	30	u	mu
184	34	o	vo
185	16	a	fa
186	10	p	up
187	24	o	wo
188	13	r	gr
189	77	T	“T
190	30	a	ma
191	28	o	do
192	29	o	co
193	75	I	[I
194	54	i	Ri
195	51	o	Fo
196	23	o	yo
197	7	j	oj
198	23	r	yr
199	40	.	1.
200	61	u	Gu
201	57	i	Li
202	93	o	e o
203	85	f	 of
204	97	h	 th
