# LZ78 Pretrained Dictionary
# code	parent_code	char	pattern
1	0	T	T
2	0	h	h
3	0	e	e
4	0	 	 
5	0	P	P
6	0	r	r
7	0	o	o
8	0	j	j
9	0	t	t
10	0	u	u
11	0	n	n
12	0	b	b
13	0	g	g
14	0	B	B
15	0	k	k
16	0	f	f
17	0	i	i
18	0	p	p
19	0	a	a
20	0	W	W
21	0	\n	\n
22	0	s	s
23	0	y	y
24	0	w	w
25	0	U	U
26	0	\r	\r
27	0	l	l
28	0	d	d
29	0	c	c
30	0	m	m
31	0	,	,
32	0	.	.
33	0	S	S
34	0	v	v
35	0	V	V
36	0	A	A
37	0	I	I
38	0	2	2
39	0	0	0
40	0	1	1
41	0	9	9
42	0	#	#
43	0	6	6
44	0	7	7
45	0	4	4
46	0	:	:
47	0	C	C
48	0	/	/
49	0	*	*
50	0	O	O
51	0	F	F
52	0	H	H
53	0	E	E
54	0	R	R
55	0	K	K
56	0	N	N
57	0	L	L
58	0	M	M
59	0	’	’
60	0	Y	Y
61	0	G	G
62	0	D	D
63	0	q	q
64	0	]	]
65	0	·	·
66	0	5	5
67	0	_	_
68	0	;	;
69	0	”	”
70	0	-	-
71	0	x	x
72	0	!	!
73	0	8	8
74	0	3	3
75	0	[	[
76	0	Q	Q
77	0	“	“
78	0	(	(
79	0	)	)
80	0	?	?
81	0	z	z
82	0	ä	ä
83	0	™	™
84	0	n	in
85	0	 	  
86	0	e	he
87	0	e	re
88	0	r	or
89	0	e	be
90	0	i	li
91	0	 	, 
92	0	g	ng
93	0	 	a 
94	0	f	of
95	0	 	; 
96	0	u	tu
97	0	n	un
98	0	u	su
99	0	-	--
100	0	a	pa
101	0	o	go
102	0	 	I 
103	0	a	fa
104	0	p	up
105	0	e	fe
106	0	]	”]
107	0	e	ye
108	0	I	[I
109	0	”	?”
110	0	a	va
111	0	e	Se
112	0	 	ed 
113	0	e	the
114	0	g	ing
115	0	 	at 
116	0	 	es 
117	0	T	ART
118	0	 	al 
119	0	 	in 
120	0	d	and
121	0	 	He 
122	0	e	age
123	0	 	or 
124	0	 	as 
125	0	 	to 
126	0	t	est
127	0	t	ght
128	0	a	fla
129	0	 	ey 
130	0	 	ld 
131	0	 	od 
132	0	 	ly 
133	0	e	pre
134	0	 	st 
135	0	t	ist
136	0	t	hat
137	0	 	by 
138	0	a	y a
139	0	e	gre
140	0	a	nea
141	0	 	ir 
142	0	 	d, 
143	0	r	sur
144	0	s	ars
145	0	 	et 
146	0	n	man
147	0	d	Ind
148	0	n	ian
149	0	e	whe
150	0	]	.”]
151	0	 	’s 
152	0	e	, e
153	0	t	not
154	0	.	le.
155	0	t	out
156	0	e	cre
157	0	i	sti
158	0	r	per
159	0	u	cou
160	0	e	que
161	0	n	ton
162	0	l	fol
163	0	h	“Th
164	0	t	--t
165	0	l	Wol
166	0	e	che
167	0	s	, s
168	0	o	bro
169	0	r	wor
170	0	 	g, 
171	0	n	con
172	0	p	imp
173	0	k	tsk
174	0	r	ntr
175	0	n	pen
176	0	g	lig
177	0	i	Thi
178	0	K	INK
179	0	l	onl
180	0	r	agr
181	0	l	hol
182	0	y	day
183	0	 	o, 
184	0	 	pt 
185	0	 	if 
186	0	s	mus
187	0	l	sol
188	0	 	ook 
189	0	 	    
190	0	d	 and
191	0	e	 the
192	0	 	THE 
193	0	 	ith 
194	0	c	al c
195	0	 	the 
196	0	 	es, 
197	0	 	and 
198	0	 	its 
199	0	 	 to 
200	0	 	off 
201	0	d	ined
