# LZ78 Pretrained Dictionary
# code	parent_code	char	pattern
1	0	T	T
2	0	h	h
3	0	e	e
4	0	 	 
5	0	P	P
6	0	r	r
7	0	o	o
8	0	j	j
9	3	c	ec
10	0	t	t
11	4	G	 G
12	0	u	u
13	10	e	te
14	0	n	n
15	0	b	b
16	3	r	er
17	0	g	g
18	4	e	 e
19	0	B	B
20	7	o	oo
21	0	k	k
22	4	o	 o
23	0	f	f
24	4	R	 R
25	0	i	i
26	0	p	p
27	4	V	 V
28	0	a	a
29	14	 	n 
30	0	W	W
31	25	n	in
33	3	\r	e\r
34	0	\n	\n
35	4	 	  
38	2	i	hi
39	0	s	s
41	20	k	ook
42	4	i	 i
43	39	 	s 
44	23	o	fo
45	6	 	r 
46	10	h	th
47	3	 	e 
48	12	s	us
49	47	o	e o
50	23	 	f 
51	28	n	an
52	0	y	y
53	7	n	on
54	47	a	e a
55	14	y	ny
56	0	w	w
57	2	e	he
58	6	e	re
59	42	n	 in
60	4	t	 t
61	57	 	he 
62	0	U	U
63	14	i	ni
64	13	d	ted
65	4	S	 S
66	10	a	ta
68	4	a	 a
69	14	d	nd
70	0	\r	\r
72	7	s	os
73	10	 	t 
74	7	t	ot
75	57	r	her
76	4	p	 p
77	28	r	ar
78	10	s	ts
79	22	f	 of
80	60	h	 th
81	47	w	e w
82	7	r	or
83	0	l	l
84	0	d	d
85	68	t	 at
86	4	n	 n
87	7	 	o 
88	0	c	c
89	72	t	ost
90	68	n	 an
91	84	 	d 
93	46	 	th 
94	28	l	al
95	0	m	m
96	89	 	ost 
97	14	o	no
98	4	r	 r
99	3	s	es
100	10	r	tr
101	25	c	ic
102	10	i	ti
103	53	s	ons
104	70	\n	\r\n
105	56	h	wh
106	28	t	at
108	3	v	ev
111	7	u	ou
112	4	m	 m
114	4	c	 c
115	7	p	op
116	52	 	y 
117	25	t	it
118	0	,	,
119	4	g	 g
120	25	v	iv
121	47	i	e i
123	56	a	wa
126	3	-	e-
127	48	e	use
128	42	t	 it
129	4	u	 u
131	45	t	r t
133	16	m	erm
134	39	\r	s\r
136	50	t	f t
138	6	o	ro
140	88	t	ct
142	13	n	ten
143	15	e	be
144	6	g	rg
145	4	L	 L
147	14	s	ns
149	88	l	cl
151	3	d	ed
152	4	w	 w
153	117	h	ith
154	80	i	 thi
157	7	k	ok
158	22	r	 or
160	83	i	li
161	14	e	ne
165	0	.	.
166	17	u	gu
171	4	I	 I
173	111	 	ou 
174	77	e	are
177	7	c	oc
178	106	e	ate
180	29	t	n t
183	151	 	ed 
184	0	S	S
186	99	,	es,
189	25	l	il
190	83	 	l 
191	2	a	ha
192	0	v	v
193	47	t	e t
197	46	e	the
200	43	o	s o
201	136	h	f th
203	111	n	oun
205	152	h	 wh
209	58	 	re 
210	83	o	lo
214	3	f	ef
216	129	s	 us
217	31	g	ing
221	104	\r	\r\n\r
223	10	l	tl
225	24	i	 Ri
227	0	V	V
228	51	 	an 
231	83	e	le
232	221	\n	\r\n\r\n
233	0	A	A
234	12	t	ut
235	2	o	ho
237	4	W	 W
238	28	s	as
239	38	n	hin
241	53	 	on 
242	0	I	I
244	217	\r	ing\r
245	34	\r	\n\r
246	34	I	\nI
247	83	l	ll
248	48	t	ust
249	6	a	ra
250	10	o	to
255	28	c	ac
257	28	m	am
259	3	l	el
260	3	a	ea
261	39	e	se
262	4	d	 d
264	4	D	 D
265	9	e	ece
267	16	 	er 
268	0	2	2
269	0	0	0
270	118	 	, 
272	0	1	1
