# LZ78 Pretrained Dictionary
# code	parent_code	char	pattern
1	0	T	T
2	0	h	h
3	0	e	e
4	0	 	 
5	0	P	P
6	0	r	r
7	0	o	o
8	0	j	j
9	3	c	ec
10	0	t	t
11	4	G	 G
12	0	u	u
13	10	e	te
14	0	n	n
15	0	b	b
16	3	r	er
17	0	g	g
18	4	e	 e
19	0	B	B
20	7	o	oo
21	0	k	k
22	4	o	 o
23	0	f	f
24	4	R	 R
25	0	i	i
26	0	p	p
27	4	V	 V
28	0	a	a
29	14	 	n 
30	0	W	W
31	25	n	in
32	21	l	kl
33	3	 	e 
34	4	 	  
35	4	T	 T
36	2	i	hi
37	0	s	s
38	18	b	 eb
39	20	k	ook
40	4	i	 i
41	37	 	s 
42	23	o	fo
43	6	 	r 
44	10	h	th
45	33	u	e u
46	37	e	se
47	22	f	 of
48	4	a	 a
49	14	y	ny
50	7	n	on
51	33	a	e a
52	49	w	nyw
53	2	e	he
54	6	e	re
55	40	n	 in
56	4	t	 t
57	53	 	he 
58	0	U	U
59	14	i	ni
60	13	d	ted
61	4	S	 S
62	10	a	ta
63	13	s	tes
64	48	n	 an
65	0	d	d
66	65	m	dm
67	7	s	os
68	10	 	t 
69	7	t	ot
70	53	r	her
71	4	p	 p
72	28	r	ar
73	10	s	ts
74	47	 	 of 
75	44	e	the
76	4	w	 w
77	7	r	or
78	0	l	l
79	65	 	d 
80	28	t	at
81	4	n	 n
82	7	 	o 
83	0	c	c
84	67	t	ost
85	64	d	 and
86	76	i	 wi
87	44	 	th 
88	28	l	al
89	0	m	m
90	84	 	ost 
91	14	o	no
92	4	r	 r
93	3	s	es
94	10	r	tr
95	25	c	ic
96	10	i	ti
97	50	s	ons
98	97	w	onsw
99	2	a	ha
100	73	o	tso
101	3	v	ev
102	16	.	er.
103	4	Y	 Y
104	7	u	ou
105	4	m	 m
106	28	y	ay
107	4	c	 c
108	7	p	op
109	0	y	y
110	40	t	 it
111	0	,	,
112	4	g	 g
113	25	v	iv
114	33	i	e i
115	68	a	t a
116	0	w	w
117	106	 	ay 
118	77	 	or 
119	54	-	re-
120	12	s	us
121	114	t	e it
122	4	u	 u
123	14	d	nd
124	16	 	er 
125	75	 	the 
126	13	r	ter
127	89	s	ms
128	127	o	mso
129	23	 	f 
130	125	P	the P
131	6	o	ro
132	8	e	je
133	83	t	ct
134	11	u	 Gu
135	13	n	ten
136	15	e	be
137	6	g	rg
138	4	L	 L
139	95	e	ice
140	14	s	ns
141	114	n	e in
142	83	l	cl
143	12	d	ud
144	3	d	ed
145	86	t	 wit
146	2	 	h 
147	44	i	thi
148	41	e	s e
149	15	o	bo
150	7	k	ok
151	22	r	 or
152	22	n	 on
153	78	i	li
154	14	e	ne
155	154	a	nea
156	68	w	t w
157	116	w	ww
158	0	.	.
159	17	u	gu
160	135	b	tenb
161	16	g	erg
162	158	o	.o
163	137	.	rg.
164	4	I	 I
165	129	y	f y
166	104	 	ou 
167	72	e	are
168	81	o	 no
169	68	l	t l
170	7	c	oc
171	80	e	ate
172	79	i	d i
173	29	t	n t
174	57	U	he U
175	59	t	nit
176	144	 	ed 
177	0	S	S
178	62	t	tat
179	93	,	es,
180	179	y	es,y
181	166	w	ou w
182	25	l	il
183	78	 	l 
184	99	v	hav
185	33	t	e t
186	82	c	o c
187	53	c	hec
188	21	 	k 
189	125	l	the l
190	28	w	aw
191	41	o	s o
192	129	t	f t
193	57	c	he c
194	104	n	oun
195	94	y	try
196	76	h	 wh
