# LZ78 Pretrained Dictionary
# code	parent_code	char	pattern
1	0	 	 
2	0	,	,
3	0	.	.
4	0	1	1
5	0	;	;
6	0	?	?
7	0	A	A
8	0	F	F
9	0	G	G
10	0	H	H
11	0	I	I
12	0	L	L
13	0	P	P
14	0	R	R
15	0	S	S
16	0	T	T
17	0	V	V
18	0	Y	Y
19	0	[	[
20	0	]	]
21	0	a	a
22	0	b	b
23	0	c	c
24	0	d	d
25	0	e	e
26	0	f	f
27	0	g	g
28	0	h	h
29	0	i	i
30	0	j	j
31	0	l	l
32	0	m	m
33	0	n	n
34	0	o	o
35	0	p	p
36	0	r	r
37	0	s	s
38	0	t	t
39	0	u	u
40	0	v	v
41	0	w	w
42	0	y	y
43	0	’	’
44	0	“	“
45	0	”	”
46	1	 	  
47	1	A	 A
48	1	H	 H
49	1	I	 I
50	1	O	 O
51	1	P	 P
52	1	a	 a
53	1	b	 b
54	1	f	 f
55	1	h	 h
56	1	i	 i
57	1	l	 l
58	1	m	 m
59	1	o	 o
60	1	s	 s
61	1	t	 t
62	1	w	 w
63	1	y	 y
64	1	“	 “
65	2	 	, 
66	3	 	. 
67	3	”	.”
68	4	.	1.
69	5	 	; 
70	6	”	?”
71	7	N	AN
72	8	o	Fo
73	9	u	Gu
74	10	e	He
75	11	N	IN
76	11	l	Il
77	11	n	In
78	12	i	Li
79	13	r	Pr
80	14	I	RI
81	14	i	Ri
82	15	 	S 
83	16	H	TH
84	16	h	Th
85	17	a	Va
86	18	o	Yo
87	19	I	[I
88	21	 	a 
89	21	a	aa
90	21	b	ab
91	21	g	ag
92	21	k	ak
93	21	l	al
94	21	m	am
95	21	n	an
96	21	r	ar
97	21	s	as
98	21	t	at
99	21	u	au
100	21	w	aw
101	21	y	ay
102	22	e	be
103	22	o	bo
104	22	r	br
105	22	u	bu
106	22	y	by
107	23	 	c 
108	23	a	ca
109	23	c	cc
110	23	e	ce
111	23	h	ch
112	23	k	ck
113	23	o	co
114	24	 	d 
115	24	,	d,
116	24	d	dd
117	24	e	de
118	24	i	di
119	24	o	do
120	25	 	e 
121	25	,	e,
122	25	a	ea
123	25	c	ec
124	25	d	ed
125	25	e	ee
126	25	i	ei
127	25	l	el
