# LZ78 Pretrained Dictionary
# code	parent_code	char	pattern
1	0	T	T
2	0	h	h
3	0	e	e
4	0	 	 
5	0	P	P
6	0	r	r
7	0	o	o
8	0	j	j
9	0	t	t
10	0	u	u
11	0	n	n
12	0	b	b
13	0	g	g
14	0	B	B
15	0	k	k
16	0	f	f
17	0	i	i
18	0	p	p
19	0	a	a
20	0	W	W
21	0	\n	\n
22	0	s	s
23	0	y	y
24	0	w	w
25	0	U	U
26	0	\r	\r
27	0	l	l
28	0	d	d
29	0	c	c
30	0	m	m
31	0	,	,
32	0	.	.
33	0	S	S
34	0	v	v
35	0	V	V
36	0	A	A
37	0	I	I
38	0	2	2
39	0	0	0
40	0	1	1
41	0	9	9
42	0	#	#
43	0	6	6
44	0	7	7
45	0	4	4
46	0	:	:
47	0	C	C
48	0	/	/
49	0	*	*
50	0	O	O
51	0	F	F
52	0	H	H
53	0	E	E
54	0	R	R
55	0	K	K
56	0	N	N
57	0	L	L
58	0	M	M
59	0	’	’
60	0	Y	Y
61	0	G	G
62	0	D	D
63	0	q	q
64	0	]	]
65	0	·	·
66	0	5	5
67	0	_	_
68	0	;	;
69	0	”	”
70	0	-	-
71	0	x	x
72	0	!	!
73	0	8	8
74	0	3	3
75	0	[	[
76	0	Q	Q
77	0	“	“
78	0	(	(
79	0	)	)
80	0	?	?
81	0	z	z
82	0	ä	ä
83	0	™	™
84	3	c	ec
85	9	e	te
86	3	r	er
87	7	o	oo
88	4	o	 o
89	11	 	n 
90	17	n	in
91	4	 	  
92	2	i	hi
93	4	i	 i
94	22	 	s 
95	16	o	fo
96	6	 	r 
97	9	h	th
98	3	 	e 
99	10	s	us
100	16	 	f 
101	19	n	an
102	7	n	on
103	2	e	he
104	6	e	re
105	4	t	 t
106	11	i	ni
107	9	a	ta
108	4	a	 a
109	11	d	nd
110	7	s	os
111	9	 	t 
112	7	t	ot
113	4	p	 p
114	19	r	ar
115	9	s	ts
116	7	r	or
117	4	n	 n
118	7	 	o 
119	28	 	d 
120	24	i	wi
121	19	l	al
122	11	o	no
123	4	r	 r
124	3	s	es
125	9	r	tr
126	17	c	ic
127	9	i	ti
128	24	h	wh
129	19	t	at
130	22	o	so
131	3	v	ev
132	4	Y	 Y
133	7	u	ou
134	4	m	 m
135	19	y	ay
136	4	c	 c
137	7	p	op
138	23	 	y 
139	17	t	it
140	17	v	iv
141	24	a	wa
142	4	u	 u
143	6	o	ro
144	8	e	je
145	29	t	ct
146	12	e	be
147	6	g	rg
148	11	s	ns
149	29	l	cl
150	3	d	ed
151	4	w	 w
152	12	o	bo
153	7	k	ok
154	27	i	li
155	11	e	ne
156	24	w	ww
157	4	I	 I
158	17	l	il
159	27	 	l 
160	2	a	ha
161	4	l	 l
162	19	w	aw
163	4	y	 y
164	27	o	lo
165	29	a	ca
166	3	f	ef
167	9	l	tl
168	18	 	p 
169	27	e	le
170	10	t	ut
171	2	o	ho
172	19	s	as
173	27	l	ll
174	6	a	ra
175	9	o	to
176	36	r	Ar
177	19	c	ac
178	19	m	am
179	3	l	el
180	3	a	ea
181	22	e	se
182	30	b	mb
183	31	 	, 
184	28	a	da
185	4	O	 O
186	13	e	ge
187	11	g	ng
188	5	r	Pr
189	7	d	od
190	27	a	la
191	17	s	is
192	12	u	bu
193	16	r	fr
194	1	h	Th
195	19	g	ag
196	19	i	ai
197	37	n	In
198	36	R	AR
199	4	T	 T
200	4	P	 P
201	33	 	S 
202	4	A	 A
203	22	.	s.
